Date,IBM,CSCO,AAPL,MSFT,ORCL,INTC,TXN,QCOM,AMAT,ADBE,y10_real
2001-06-20,55.63722229003906,10.554450035095215,0.32435014843940735,21.10577392578125,13.95917797088623,15.654752731323242,18.18730926513672,14.855657577514648,17.47210693359375,22.51761817932129,
2001-06-21,55.39614486694336,11.378214836120605,0.33662378787994385,21.23651695251465,14.261938095092773,15.529463768005371,18.46057891845703,16.097461700439453,17.204750061035156,22.5225887298584,
2001-06-22,55.52898025512695,11.275243759155273,0.33318132162094116,20.929410934448242,13.92730712890625,15.666139602661133,18.39984130859375,16.56658935546875,17.72140121459961,21.66886329650879,
2001-06-25,55.42071533203125,11.912379264831543,0.3590756356716156,20.935489654541016,14.158363342285156,16.275482177734375,18.73384666442871,16.66469955444336,18.01766014099121,22.136249542236328,
2001-06-26,55.61257553100586,11.597028732299805,0.3554830551147461,21.327743530273438,14.692194938659668,16.497575759887695,18.770265579223633,16.388748168945312,18.1404972076416,22.200889587402344,
2001-06-27,55.848751068115234,11.539102554321289,0.34934669733047485,21.63181495666504,14.373495101928711,16.315340042114258,18.770265579223633,17.035715103149414,17.511856079101562,22.05171775817871,
2001-06-28,56.626041412353516,11.95742130279541,0.35233983397483826,22.118331909179688,15.281792640686035,16.879114151000977,19.262149810791016,17.661218643188477,17.909269332885742,23.299741744995117,
2001-06-29,55.838905334472656,11.712867736816406,0.347999632358551,22.19739532470703,15.13838005065918,16.65703010559082,19.371448516845703,17.931041717529297,17.739465713500977,23.369354248046875,
2001-07-02,56.2570686340332,12.36929702758789,0.35772860050201416,21.467605590820312,15.600494384765625,17.118303298950195,19.93619728088379,17.74399757385254,18.050161361694336,23.34449577331543,
2001-07-03,55.58306884765625,12.349991798400879,0.35683009028434753,21.428077697753906,15.751883506774902,17.346078872680664,19.62650489807129,19.583709716796875,18.147729873657227,22.524076461791992,
2001-07-05,55.150146484375,11.313858032226562,0.34710121154785156,20.832103729248047,15.082599639892578,16.993013381958008,19.043542861938477,18.82943344116211,17.587732315063477,22.205856323242188,
2001-07-06,52.395111083984375,10.805440902709961,0.3297388255596161,20.087120056152344,14.50893783569336,16.190052032470703,17.762237548828125,17.83905029296875,16.366546630859375,21.55947494506836,
2001-07-09,51.51936721801758,11.101478576660156,0.3397669792175293,19.974609375,15.066671371459961,16.457706451416016,17.85331153869629,18.924480438232422,16.19314193725586,21.86775016784668,
2001-07-10,50.161521911621094,10.425741195678711,0.3164174258708954,19.606685638427734,14.014944076538086,15.825587272644043,18.005128860473633,18.105810165405273,15.456093788146973,21.35561180114746,
2001-07-11,51.09136199951172,10.74752140045166,0.337372362613678,20.220911026000977,14.3416166305542,15.979349136352539,18.24803352355957,17.308609008789062,15.918539047241211,20.604812622070312,
2001-07-12,52.76408767700195,11.494056701660156,0.36461347341537476,21.771682739257812,15.664231300354004,17.14107894897461,20.124452590942383,19.427337646484375,16.774818420410156,21.35063934326172,
2001-07-13,53.3937873840332,12.060395240783691,0.37194764614105225,21.692626953125,15.568623542785645,17.19232749938965,20.160884857177734,20.1080265045166,16.749523162841797,20.072786331176758,
2001-07-16,53.04450225830078,11.397516250610352,0.3586263656616211,21.64398193359375,14.899349212646484,16.588693618774414,19.152847290039062,19.65729331970215,15.156222343444824,19.605396270751953,
2001-07-17,53.3937873840332,11.449006080627441,0.3756893575191498,21.83858871459961,15.536751747131348,17.027175903320312,19.262149810791016,19.83514976501465,16.10280990600586,20.470556259155273,
2001-07-18,51.302913665771484,11.037121772766113,0.3111787438392639,21.458505630493164,14.963088035583496,16.4520206451416,18.278398513793945,19.17896842956543,15.737905502319336,19.913673400878906,
2001-07-19,51.1651611328125,11.429698944091797,0.29875603318214417,22.06664276123047,15.273819923400879,17.061351776123047,19.89369773864746,20.144819259643555,16.362943649291992,20.823583602905273,
2001-07-20,52.00153350830078,11.577718734741211,0.2990552484989166,21.03582763671875,15.194157600402832,17.04426383972168,19.134634017944336,19.7707462310791,16.276226043701172,20.23189353942871,
2001-07-23,52.075313568115234,11.757920265197754,0.29246950149536133,20.400310516357422,14.44519329071045,16.514657974243164,18.703475952148438,18.6577205657959,15.745124816894531,20.182174682617188,
2001-07-24,51.41608810424805,11.828707695007324,0.28573381900787354,20.166175842285156,14.50893783569336,16.446311950683594,18.339130401611328,17.707212448120117,15.517511367797852,19.878868103027344,
2001-07-25,51.602996826171875,12.034647941589355,0.27645328640937805,20.518903732299805,15.345529556274414,16.753828048706055,19.19535255432129,18.271381378173828,15.8173828125,20.868335723876953,
2001-07-26,52.14910125732422,12.472272872924805,0.278249591588974,20.248281478881836,15.465052604675293,16.958845138549805,20.537385940551758,18.2928524017334,16.32319450378418,21.38047218322754,
2001-07-27,51.50954818725586,12.26633071899414,0.28378748893737793,19.907718658447266,15.186179161071777,16.639936447143555,21.177268981933594,19.37214469909668,16.713396072387695,21.41030502319336,
2001-07-30,52.075313568115234,12.1569242477417,0.28333914279937744,20.00806427001953,14.875448226928711,16.53744125366211,21.23802947998047,19.65729331970215,16.832616806030273,20.15731430053711,
2001-07-31,51.76045227050781,12.36929702758789,0.28124359250068665,20.126646041870117,14.405352592468262,16.975923538208008,20.964580535888672,19.387479782104492,16.56887435913086,18.64078712463379,
2001-08-01,52.670597076416016,13.064352035522461,0.2852843701839447,20.211788177490234,14.596588134765625,17.511228561401367,22.258913040161133,20.043643951416016,17.450429916381836,19.197677612304688,
2001-08-02,53.52663040161133,13.032176971435547,0.29666051268577576,20.509777069091797,14.588614463806152,18.28571319580078,23.182575225830078,20.95429039001465,18.064634323120117,19.167842864990234,
2001-08-03,53.221595764160156,12.903460502624512,0.2918701469898224,20.339500427246094,14.3416166305542,18.052082061767578,22.787580490112305,20.500503540039062,17.920114517211914,18.864540100097656,
2001-08-06,52.4000129699707,12.575250625610352,0.28633230924606323,20.1084041595459,13.911372184753418,17.25432777404785,22.325759887695312,20.63541030883789,17.605785369873047,18.27781867980957,
2001-08-07,52.27211380004883,12.395042419433594,0.28812843561172485,20.175296783447266,13.736078262329102,17.448060989379883,21.5418643951416,20.715124130249023,16.90848731994629,17.114320755004883,
2001-08-08,51.326271057128906,11.571281433105469,0.28288981318473816,19.722238540649414,12.987131118774414,16.87254524230957,20.454133987426758,19.957780838012695,16.164228439331055,16.935321807861328,
2001-08-09,51.27207565307617,11.770791053771973,0.2851352095603943,19.767837524414062,12.740135192871094,16.895328521728516,20.78227424621582,20.15095329284668,16.203960418701172,17.28835105895996,
2001-08-10,51.700653076171875,11.796534538269043,0.28468602895736694,19.92292594909668,12.078831672668457,17.066286087036133,21.05573081970215,19.553049087524414,16.07029151916504,16.930347442626953,
2001-08-13,52.14895248413086,11.719301223754883,0.28573381900787354,20.01718521118164,12.501112937927246,17.413867950439453,21.134733200073242,20.4207763671875,16.20035743713379,17.825347900390625,
2001-08-14,52.316429138183594,11.358904838562012,0.28034508228302,19.670541763305664,12.389568328857422,17.294218063354492,21.183349609375,20.21534538269043,15.770421028137207,17.154102325439453,
2001-08-15,51.73023223876953,10.94058895111084,0.2760048508644104,19.217470169067383,11.959318161010742,16.969411849975586,20.308303833007812,19.479459762573242,15.802939414978027,16.666824340820312,
2001-08-16,52.09477615356445,11.249500274658203,0.27914828062057495,19.64925193786621,12.198341369628906,17.185943603515625,21.0982666015625,19.87192726135254,16.1497745513916,17.029796600341797,
2001-08-17,51.5233268737793,10.689603805541992,0.27046704292297363,18.81609535217285,11.728257179260254,15.995017051696777,20.13814926147461,18.875425338745117,15.380226135253906,16.288936614990234,
2001-08-20,51.28194808959961,10.87623119354248,0.2712145745754242,19.0654296875,11.79996395111084,16.069082260131836,20.271846771240234,19.534648895263672,15.622291564941406,17.019851684570312,
2001-08-21,50.1932373046875,10.303461074829102,0.2682214677333832,18.481605529785156,11.258169174194336,15.425185203552246,19.75531768798828,19.145248413085938,15.177895545959473,16.63202476501465,
